ATP,Location,Tournament,New Date,Series,Court,Surface,Round,Best of,Winner_FullName,Loser_FullName,Wn_Ln,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,WID_DATE_MID,Winner_ID,Loser_ID,WID_LID_DATE
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,James Duckworth,Nicolas Mahut,James DuckworthNicolas Mahut,275,80,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,4.33,1.2,,,4.25,1.2,4.65,1.23,171,653,,,4,1.22,5,1.17,5,1.23,4.35,1.2,902-4090915,105902,103917,1.05902E+16
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,Alexandr Dolgopolov,Alejandro Falla,Alexandr DolgopolovAlejandro Falla,15,74,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,1.25,3.75,,,1.25,3.75,1.32,3.71,1925,671,,,1.29,3.5,1.2,4,1.33,4,1.28,3.59,238-4090912,105238,104268,1.05238E+16
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,Denis Istomin,Florian Mayer,Denis IstominFlorian Mayer,73,23,7,6,2,3,,,,,,,1,0,Retired,,,,,,,,,3.25,1.33,,,3.3,1.3,3.29,1.38,685,1630,,,3.25,1.33,3,1.33,3.46,1.38,3.1,1.35,797-409095,104797,104252,1.04797E+16
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,Bernard Tomic,Julien Benneteau,Bernard TomicJulien Benneteau,42,52,6,2,4,6,7,5,,,,,2,1,Completed,,,,,,,,,1.66,2.1,,,1.65,2.15,1.7,2.27,970,900,,,1.62,2.2,1.62,2.2,1.7,3.1,1.63,2.22,071-409098,106071,103898,1.06071E+16
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,Gilles Muller,Ricardo Mello,Gilles MullerRicardo Mello,54,85,6,7,7,6,6,3,,,,,2,1,Completed,,,,,,,,,1.4,2.75,,,1.4,2.8,1.41,3.13,893,630,,,1.33,3.25,1.36,2.88,1.44,3.7,1.4,2.86,180-409092,104180,103672,1.0418E+16
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,Gilles Simon,Ryan Sweeting,Gilles SimonRyan Sweeting,12,72,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,1.2,4.33,,,1.2,4.25,1.24,4.48,2165,690,,,1.17,4.5,1.17,4.5,1.3,4.6,1.2,4.25,468-4090916,104468,104976,1.04468E+16
1,Brisbane,Brisbane International,2012-01-01,ATP250,Outdoor,Hard,1st Round,3,Marcos Baghdatis,Ryan Harrison,Marcos BaghdatisRyan Harrison,44,79,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,,1.36,3,,,1.35,3,1.51,2.74,940,658,,,1.44,2.62,1.44,2.63,1.51,3.15,1.41,2.79,571-409093,104571,105992,1.04571E+16
2,Chennai,Chennai Open,2012-01-02,ATP250,Outdoor,Hard,1st Round,3,Yuki Bhambri,Karol Beck,Yuki BhambriKarol Beck,345,98,6,2,6,3,,,,,,,2,0,Completed,,,,,,,,,3,1.36,,,2.8,1.4,3.1,1.41,122,580,,,3.25,1.33,3.5,1.25,3.5,1.45,2.98,1.37,026-409101,106026,103971,1.06026E+16
2,Chennai,Chennai Open,2012-01-02,ATP250,Outdoor,Hard,1st Round,3,Dudi Sela,Fabio Fognini,Dudi SelaFabio Fognini,83,48,6,0,6,1,,,,,,,2,0,Completed,,,,,,,,,1.53,2.37,,,1.5,2.5,1.61,2.46,640,915,,,1.57,2.25,1.5,2.5,1.64,3,1.54,2.4,534-409107,104534,104926,1.04534E+16
2,Chennai,Chennai Open,2012-01-02,ATP250,Outdoor,Hard,1st Round,3,Ivan Dodig,Vishnu Vardhan,Ivan DodigVishnu Vardhan,36,313,4,6,7,6,6,1,,,,,2,1,Completed,,,,,,,,,1.14,5.5,,,1.15,5,1.16,6,1065,140,,,1.14,5,1.17,4.5,1.18,6.01,1.15,5.16,471-409106,104471,104986,1.04471E+16
