WID_LID_DATE,TID,TID_MID,Winner_ID,Loser_ID,ATP,Location,Tournament,New Date,Series,Court,Surface,Round,Best of,Winner_FullName,Loser_FullName,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
5.90E+12,2012-339,2012-33915,105902,103917,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,James Duckworth,Nicolas Mahut,275,80,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,4.33,1.2,,,4.25,1.2,4.65,1.23,171,653,,,4,1.22,5,1.17,5,1.23,4.35,1.2
5.24E+12,2012-339,2012-33912,105238,104268,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Alexandr Dolgopolov,Alejandro Falla,15,74,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,1.25,3.75,,,1.25,3.75,1.32,3.71,1925,671,,,1.29,3.5,1.2,4,1.33,4,1.28,3.59
4.80E+12,2012-339,2012-3395,104797,104252,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Denis Istomin,Florian Mayer,73,23,7,6,2,3,,,,,,,1,0,Retired,,,,,,,,,3.25,1.33,,,3.3,1.3,3.29,1.38,685,1630,,,3.25,1.33,3,1.33,3.46,1.38,3.1,1.35
6.07E+12,2012-339,2012-3398,106071,103898,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Bernard Tomic,Julien Benneteau,42,52,6,2,4,6,7,5,,,,,2,1,Completed,,,,,,,,,1.66,2.1,,,1.65,2.15,1.7,2.27,970,900,,,1.62,2.2,1.62,2.2,1.7,3.1,1.63,2.22
4.18E+12,2012-339,2012-3392,104180,103672,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Gilles Muller,Ricardo Mello,54,85,6,7,7,6,6,3,,,,,2,1,Completed,,,,,,,,,1.4,2.75,,,1.4,2.8,1.41,3.13,893,630,,,1.33,3.25,1.36,2.88,1.44,3.7,1.4,2.86
4.47E+12,2012-339,2012-33916,104468,104976,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Gilles Simon,Ryan Sweeting,12,72,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,1.2,4.33,,,1.2,4.25,1.24,4.48,2165,690,,,1.17,4.5,1.17,4.5,1.3,4.6,1.2,4.25
4.57E+12,2012-339,2012-3393,104571,105992,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Marcos Baghdatis,Ryan Harrison,44,79,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,,1.36,3,,,1.35,3,1.51,2.74,940,658,,,1.44,2.62,1.44,2.63,1.51,3.15,1.41,2.79
6.03E+12,2012-891,2012-8911,106026,103971,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Yuki Bhambri,Karol Beck,345,98,6,2,6,3,,,,,,,2,0,Completed,,,,,,,,,3,1.36,,,2.8,1.4,3.1,1.41,122,580,,,3.25,1.33,3.5,1.25,3.5,1.45,2.98,1.37
4.53E+12,2012-891,2012-8917,104534,104926,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Dudi Sela,Fabio Fognini,83,48,6,0,6,1,,,,,,,2,0,Completed,,,,,,,,,1.53,2.37,,,1.5,2.5,1.61,2.46,640,915,,,1.57,2.25,1.5,2.5,1.64,3,1.54,2.4
4.47E+12,2012-891,2012-8916,104471,104986,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Ivan Dodig,Vishnu Vardhan,36,313,4,6,7,6,6,1,,,,,2,1,Completed,,,,,,,,,1.14,5.5,,,1.15,5,1.16,6,1065,140,,,1.14,5,1.17,4.5,1.18,6.01,1.15,5.16
5.33E+12,2012-891,2012-8918,105332,105137,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Benoit Paire,Pere Riba,95,89,6,2,6,1,,,,,,,2,0,Completed,,,,,,,,,1.53,2.37,,,1.6,2.25,1.62,2.43,586,612,,,1.67,2.1,1.62,2.2,1.65,2.5,1.59,2.29
4.31E+12,2012-451,2012-45113,104312,103997,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Andreas Seppi,Lukasz Kubot,38,57,6,2,6,3,,,,,,,2,0,Completed,,,,,,,,,1.5,2.5,,,1.55,2.35,1.63,2.4,1015,828,,,1.53,2.38,1.57,2.38,1.65,2.53,1.56,2.34
5.08E+12,2012-451,2012-45110,105077,104098,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Albert Ramos,Dmitry Tursunov,66,40,7,5,6,2,,,,,,,2,0,Completed,,,,,,,,,2.75,1.4,,,2.65,1.45,2.71,1.52,709,988,,,3,1.36,3,1.33,3,1.52,2.83,1.4
4.26E+12,2012-451,2012-45111,104262,106325,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Flavio Cipolla,Jabor Al Mutawa,75,N/A,6,0,6,0,,,,,,,2,0,Completed,,,,,,,,,1.002,34,,,1.02,11,1.01,24.11,669,N/A,,,1.02,13,1.03,10,1.03,36.3,1.02,15.02
4.17E+12,2012-451,2012-4519,104166,103835,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Alex Bogomolov Jr,Filippo Volandri,34,69,5,7,6,4,6,2,,,,,2,1,Completed,,,,,,,,,1.1,7,,,1.11,6,1.11,7.62,1135,696,,,1.14,5,1.13,5.5,1.14,8,1.11,6.05
3.79E+12,2012-451,2012-4516,103794,103857,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Benjamin Becker,Igor Kunitsyn,304,71,6,4,7,5,,,,,,,2,0,Completed,,,,,,,,,1.9,1.8,,,2,1.75,1.96,1.93,148,692,,,2,1.73,2.2,1.62,2.2,1.93,2,1.76
5.45E+12,2012-339,2012-3394,105453,105649,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Kei Nishikori,Cedrik Marcel Stebe,25,81,3,6,6,1,6,4,,,,,2,1,Completed,,,,,,,,,1.22,4,,,1.25,3.75,1.26,4.29,1430,652,,,1.29,3.5,1.25,3.5,1.34,4.3,1.25,3.8
5.15E+12,2012-339,2012-3397,105147,106093,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Tatsuma Ito,Benjamin Mitchell,122,227,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,1.44,2.62,,,,,1.51,2.72,474,214,,,1.5,2.5,1.5,2.5,1.55,2.8,1.49,2.52
3.29E+12,2012-339,2012-3399,103285,105051,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Radek Stepanek,Matthew Ebden,28,86,6,4,3,6,6,3,,,,,2,1,Completed,,,,,,,,,1.5,2.5,,,1.55,2.35,1.61,2.46,1275,627,,,1.44,2.62,1.5,2.5,1.68,2.88,1.53,2.43
5.05E+12,2012-339,2012-33914,105053,105357,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Santiago Giraldo,John Millman,55,541,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,1.28,3.5,,,1.25,3.75,1.28,4.02,890,51,,,1.29,3.5,1.29,3.25,1.33,4.04,1.28,3.53
4.33E+12,2012-339,2012-33913,104332,103781,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Philipp Petzschner,Jurgen Melzer,63,33,6,1,7,5,,,,,,,2,0,Completed,,,,,,,,,2.37,1.53,,,2.35,1.55,2.35,1.66,780,1170,,,2.38,1.53,2.25,1.57,2.6,1.68,2.34,1.58
3.16E+12,2012-339,2012-3396,103163,104594,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Tommy Haas,Marinko Matosevic,205,203,6,3,7,5,,,,,,,2,0,Completed,,,,,,,,,1.53,2.37,,,1.5,2.5,1.66,2.34,237,240,,,1.53,2.38,1.53,2.5,1.66,2.5,1.55,2.37
4.21E+12,2012-339,2012-33911,104214,105173,1,Brisbane,Brisbane International,1/1/2012,ATP250,Outdoor,Hard,1st Round,3,Igor Andreev,Adrian Mannarino,115,87,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,1.83,1.83,,,1.9,1.85,1.83,2.07,494,623,,,1.83,1.83,1.83,1.83,2,2.5,1.85,1.89
5.22E+12,2012-891,2012-89110,105216,103694,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Yuichi Sugita,Olivier Rochus,235,67,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,2.62,1.44,,,2.5,1.5,2.37,1.65,207,704,,,2.38,1.53,2.63,1.44,3.4,1.65,2.47,1.51
3.81E+12,2012-891,2012-8919,103812,105023,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Victor Hanescu,Sam Querrey,90,93,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,3.4,1.3,,,3.75,1.25,3.78,1.31,600,589,,,3.25,1.33,3.25,1.29,3.8,1.39,3.41,1.3
5.68E+12,2012-891,2012-8913,105676,103598,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,David Goffin,Xavier Malisse,174,49,4,6,6,2,6,3,,,,,2,1,Completed,,,,,,,,,3,1.36,,,3,1.35,3.08,1.42,287,910,,,2.75,1.4,3,1.33,4,1.65,2.94,1.38
4.33E+12,2012-891,2012-89112,104327,104882,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Steve Darcis,Blaz Kavcic,88,92,4,6,7,5,6,3,,,,,2,1,Completed,,,,,,,,,1.66,2.1,,,1.65,2.15,1.65,2.37,622,590,,,1.67,2.1,1.67,2.1,1.73,2.37,1.65,2.16
4.42E+12,2012-891,2012-8915,104424,104523,2,Chennai,Chennai Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Go Soeda,Frederico Gil,120,102,6,2,6,7,7,5,,,,,2,1,Completed,,,,,,,,,1.4,2.75,,,1.45,2.65,1.55,2.6,481,561,,,1.5,2.5,1.44,2.63,1.67,2.75,1.47,2.59
4.90E+12,2012-451,2012-4517,104897,105138,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Matthias Bachinger,Roberto Bautista Agut,94,178,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,1.53,2.37,,,1.6,2.25,1.7,2.26,587,275,,,1.53,2.38,1.5,2.5,1.7,2.5,1.6,2.27
3.82E+12,2012-451,2012-4512,103823,103808,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Denis Gremelmayr,Potito Starace,189,58,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,,2.1,1.66,,,2,1.75,2.05,1.85,262,825,,,2.25,1.57,2.2,1.62,2.3,1.85,2.12,1.67
4.54E+12,2012-451,2012-45112,104542,104291,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Jo Wilfried Tsonga,Malek Jaziri,6,118,7,6,6,7,6,1,,,,,2,1,Completed,,,,,,,,,1.03,15,,,1.04,9,1.04,14.79,4335,485,,,1.06,8,1.04,10,1.06,16.08,1.03,11.14
3.33E+12,2012-451,2012-4513,103333,104660,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Ivo Karlovic,Sergiy Stakhovsky,56,62,6,7,6,2,7,6,,,,,2,1,Completed,,,,,,,,,1.57,2.25,,,1.6,2.25,1.64,2.38,867,780,,,1.57,2.25,1.67,2.1,1.7,2.4,1.6,2.25
4.81E+12,2012-451,2012-45115,104813,104869,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Grega Zemlja,Sergei Bubka,116,148,4,6,6,1,6,1,,,,,2,1,Completed,,,,,,,,,1.4,2.75,,,1.45,2.65,1.49,2.8,491,356,,,1.5,2.5,1.4,2.75,1.6,2.8,1.45,2.63
4.02E+12,2012-451,2012-4514,104022,105208,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Mikhail Youzhny,Ernests Gulbis,35,61,6,4,6,7,6,2,,,,,2,1,Completed,,,,,,,,,1.8,1.9,,,1.87,1.87,1.96,1.93,1105,785,,,1.8,1.91,1.8,2,1.97,2.05,1.83,1.89
4.79E+12,2012-451,2012-4515,104792,104349,3,Doha,Qatar Exxon Mobil Open,1/2/2012,ATP250,Outdoor,Hard,1st Round,3,Gael Monfils,Rui Machado,16,68,7,5,6,3,,,,,,,2,0,Completed,,,,,,,,,1.05,11,,,1.06,8,1.06,11.23,1910,698,,,1.07,7.5,1.07,8,1.08,11.35,1.06,8.88
