player_id,player_name,player_hand,player_ht,player_ioc
106000,Damir Dzumhur,R,172,BIH
104001,Brian Wilson,R,190,USA
103003,Jean Francois Bachelot,R,183,FRA
104003,Victor Crivoi,R,185,ROU
104004,Filip Prpic,R,173,SWE
105004,Dimitar Kutrovsky,R,NULL,BUL
103007,Mounir El Aarej,R,NULL,MAR
104007,Andre Ghem,R,193,BRA
103009,Razvan Sabau,R,185,ROU
104010,Dieter Kindlmann,R,183,GER
105011,Illya Marchenko,R,185,UKR
104014,Lee Childs,R,NULL,GBR
124014,Ernesto Escobedo,R,NULL,USA
105015,Franco Skugor,R,193,CRO
103017,Nicolas Kiefer,R,183,GER
103018,Max Mirnyi,R,196,BLR
104019,Kristof Vliegen,R,193,BEL
102021,Michael Chang,R,175,USA
104022,Mikhail Youzhny,R,183,RUS
105023,Sam Querrey,R,198,USA
104023,Nicolas Renavand,R,NULL,FRA
102024,Hernan Gumy,R,188,ARG
102025,Mikael Tillstrom,R,185,SWE
104025,Amer Delic,R,196,BIH
104026,Joachim Johansson,R,198,SWE
106026,Yuki Bhambri,R,183,IND
105028,Jesse Levine,L,175,CAN
102029,Filip Dewulf,R,190,BEL
103029,Mehdi Tahiri,R,183,MAR
105030,Michael Venus,R,NULL,NZL
103031,Julian Alonso,R,185,ESP
103032,Francisco Fogues,L,190,ESP
105032,Samuel Groth,R,NULL,AUS
106032,Facundo Arguello,R,NULL,ARG
102035,Jonas Bjorkman,R,183,SWE
104035,Bobby Reynolds,R,183,USA
103035,Alessio Di Mauro,L,185,ITA
105041,Lukas Lacko,R,185,SVK
104043,Marc Lopez,R,175,ESP
106043,Diego Sebastian Schwartzman,R,NULL,ARG
106044,Nicolas Kicker,R,NULL,ARG
103045,Reginald Willems,R,180,BEL
106045,Denis Kudla,R,180,USA
103047,Julien Varlet,R,180,FRA
105047,Tim Puetz,R,NULL,GER
105051,Matthew Ebden,R,188,AUS
105052,Chris Eaton,R,NULL,GBR
102053,Brian Macphie,L,180,USA
104053,Andy Roddick,R,188,USA
105053,Santiago Giraldo,R,188,COL
106053,Philip Davydenko,U,NULL,RUS
104056,Roko Karanusic,R,183,CRO
106058,Jack Sock,R,185,USA
103060,Alejandro Hernandez,R,180,MEX
102061,Kevin Ullyett,R,178,ZIM
105062,Mikhail Kukushkin,R,183,KAZ
103063,Sebastien De Chaunac,R,183,FRA
105063,Andrea Arnaboldi,L,NULL,ITA
105064,Thomaz Bellucci,L,188,BRA
105065,Tim Smyczek,R,175,USA
106065,Marco Cecchinato,R,NULL,ITA
103066,Mark Nielsen,R,185,NZL
104068,Robby Ginepri,R,183,USA
104070,Jesse Witten,R,178,USA
106071,Bernard Tomic,R,193,AUS
104071,Raven Klaasen,R,180,RSA
105074,Ruben Bemelmans,L,NULL,BEL
106075,Jozef Kovalik,R,NULL,SVK
104076,Jose Acasuso,R,190,ARG
103077,Konstantinos Economidis,R,188,GRE
105077,Albert Ramos,L,188,ESP
105079,Ivan Sergeyev,R,NULL,UKR
105080,Miloslav Mecir,U,NULL,SVK
104081,Boris Pashanski,R,180,SRB
103082,Markus Hantschk,R,188,GER
104082,Hiroki Kondo,R,NULL,JPN
