tourney_id,tourney_level,tourney_name,surface,draw_size,MatchDate
2014-580,G,Australian Open,Hard,128,2014-01-13
2015-2276,A,Zagreb,Hard,28,2015-02-02
2015-360,A,Casablanca,Clay,28,2015-04-06
2015-520,G,Roland Garros,Clay,128,2015-05-24
2015-439,A,Umag,Clay,28,2015-07-20
2016-0451,A,Doha,Hard,32,2016-01-04
2016-580,G,Australian Open,Hard,128,2016-01-18
2016-7434,A,Sofia,Hard,32,2016-02-01
2016-0402,A,Memphis,Hard,32,2016-02-08
2016-0499,A,Delray Beach,Hard,32,2016-02-15
2016-M007,M,Miami Masters,Hard,128,2016-03-21
2016-0410,M,Monte Carlo Masters,Clay,64,2016-04-11
2016-0773,A,Bucharest,Clay,32,2016-04-18
2016-7163,A,Istanbul,Clay,32,2016-04-25
2016-0741,A,Nottingham,Grass,64,2016-06-20
2016-540,G,Wimbledon,Grass,128,2016-06-27
2016-0439,A,Umag,Clay,32,2016-07-18
2016-560,G,Us Open,Hard,128,2016-08-29
2016-M014,A,Moscow,Hard,32,2016-10-17
2016-0337,A,Vienna,Hard,32,2016-10-24
2006-424,A,San Jose,Hard,32,2006-02-13
2000-375,A,Lyon,Carpet,32,2000-11-06
2002-580,G,Australian Open,Hard,128,2002-01-14
2002-573,A,Mallorca,Clay,32,2002-04-29
2006-773,A,Bucharest,Clay,32,2006-09-11
2008-773,A,Bucharest,Clay,32,2008-09-08
2009-416,M,Rome Masters,Clay,56,2009-04-27
2009-520,G,Roland Garros,Clay,128,2009-05-25
2009-540,G,Wimbledon,Grass,128,2009-06-22
2009-316,A,Bastad,Clay,28,2009-07-13
2009-314,A,Gstaad,Clay,32,2009-07-26
2009-337,A,Vienna,Hard,32,2009-10-26
2010-773,A,Bucharest,Clay,28,2010-09-20
2010-438,A,Moscow,Hard,28,2010-10-18
2011-414,A,Hamburg,Clay,48,2011-07-18
2007-429,A,Stockholm,Hard,32,2007-10-07
2010-5012,A,Johannesburg,Hard,32,2010-02-01
2012-424,A,San Jose,Hard,28,2012-02-13
2002-360,A,Casablanca,Clay,32,2002-04-08
2006-533,A,Costa Do Sauipe,Clay,32,2006-02-20
2013-6710,A,Power Horse Cup,Clay,28,2013-05-19
2000-717,A,Orlando,Clay,32,2000-05-01
2003-773,A,Bucharest,Clay,32,2003-09-08
2005-314,A,Gstaad,Clay,32,2005-07-04
2005-321,A,Stuttgart,Clay,48,2005-07-18
2005-475,A,Sopot,Clay,32,2005-08-01
2005-325,A,Palermo,Clay,32,2005-09-26
2006-807,A,Acapulco,Clay,32,2006-02-27
2006-311,A,Queen's Club,Grass,56,2006-06-12
2006-419,A,Indianapolis,Hard,48,2006-07-17
2006-520,G,Roland Garros,Clay,128,2006-05-29
2009-438,A,Moscow,Hard,32,2009-10-19
2009-568,A,St. Petersburg,Hard,32,2009-10-25
2010-580,G,Australian Open,Hard,128,2010-01-18
2010-2276,A,Zagreb,Hard,32,2010-02-01
2010-496,A,Marseille,Hard,28,2010-02-15
2010-403,M,Miami Masters,Hard,96,2010-03-24
2010-741,A,Eastbourne,Grass,32,2010-06-13
2010-540,G,Wimbledon,Grass,128,2010-06-21
2010-6116,A,Atlanta,Hard,28,2010-07-19
2010-418,A,Washington,Hard,48,2010-08-01
2010-3348,A,New Haven,Hard,48,2010-08-22
2010-568,A,St. Petersburg,Hard,32,2010-10-25
2011-451,A,Doha,Hard,32,2011-01-03
2011-580,G,Australian Open,Hard,128,2011-01-17
2011-2276,A,Zagreb,Hard,28,2011-01-31
2011-5053,A,Belgrade,Clay,28,2011-04-25
2011-741,A,Eastbourne,Grass,32,2011-06-12
2014-6116,A,Atlanta,Hard,28,2014-07-21
2014-560,G,US Open,Hard,128,2014-08-25
2015-440,A,s-Hertogenbosch,Grass,28,2015-06-08
2015-560,G,US Open,Hard,128,2015-08-31
2016-M004,A,Acapulco,Hard,32,2016-02-22
2016-M006,M,Indian Wells Masters,Hard,128,2016-03-07
2016-0341,A,Metz,Hard,32,2016-09-19
2000-620,A,Brighton,Hard,32,2000-11-20
2003-540,G,Wimbledon,Grass,128,2003-06-23
2010-316,A,Bastad,Clay,28,2010-07-12
2010-439,A,Umag,Clay,28,2010-07-26
2016-0495,A,Dubai,Hard,32,2016-02-22
2000-451,A,Doha,Hard,32,2000-01-03
2000-580,G,Australian Open,Hard,128,2000-01-17
2000-495,A,Dubai,Hard,32,2000-02-07
2000-407,A,Rotterdam,Hard,32,2000-02-14
2000-500,A,Halle,Grass,32,2000-06-12
2000-314,A,Gstaad,Clay,32,2000-07-10
2000-421,M,Canada Masters,Hard,64,2000-07-31
2000-418,A,Washington,Hard,56,2000-08-14
2000-560,G,US Open,Hard,128,2000-08-28
2000-336,A,Hong Kong,Hard,32,2000-10-02
2001-451,A,Doha,Hard,32,2001-01-01
2001-580,G,Australian Open,Hard,128,2001-01-15
2001-407,A,Rotterdam,Hard,32,2001-02-19
2001-404,M,Indian Wells Masters,Hard,64,2001-03-12
2001-403,M,Miami Masters,Hard,96,2001-03-19
2001-573,A,Mallorca,Clay,32,2001-04-30
2001-416,M,Rome Masters,Clay,64,2001-05-07
2001-414,M,Hamburg Masters,Clay,64,2001-05-14
2001-615,A,Dusseldorf,Clay,64,2001-05-21
2001-500,A,Halle,Grass,32,2001-06-11
2001-540,G,Wimbledon,Grass,128,2001-06-25
2001-421,M,Canada Masters,Hard,64,2001-07-30
2001-422,M,Cincinnati Masters,Hard,64,2001-08-06
2001-438,A,Moscow,Carpet,32,2001-10-01
2001-375,A,Lyon,Carpet,32,2001-10-08
2002-495,A,Dubai,Hard,32,2002-02-25
2002-404,M,Indian Wells Masters,Hard,64,2002-03-11
2002-308,A,Munich,Clay,32,2002-04-29
2002-500,A,Halle,Grass,32,2002-06-10
2002-741,A,Nottingham,Grass,32,2002-06-17
2002-540,G,Wimbledon,Grass,128,2002-06-24
2002-423,A,Los Angeles,Hard,32,2002-07-22
2002-422,M,Cincinnati Masters,Hard,64,2002-08-05
2002-419,A,Indianapolis,Hard,56,2002-08-12
2002-438,A,Moscow,Carpet,32,2002-09-30
2002-337,A,Vienna,Hard,32,2002-10-07
2002-568,A,St. Petersburg,Hard,32,2002-10-21
2003-404,M,Indian Wells Masters,Hard,64,2003-03-10
2003-520,G,Roland Garros,Clay,128,2003-05-26
2003-500,A,Halle,Grass,32,2003-06-09
2003-419,A,Indianapolis,Hard,48,2003-07-21
2003-423,A,Los Angeles,Hard,32,2003-07-28
2003-441,A,Long Island,Hard,32,2003-08-18
2003-560,G,US Open,Hard,128,2003-08-25
2003-890,A,Shanghai,Hard,32,2003-09-22
2003-329,A,Tokyo,Hard,48,2003-09-29
